date,amount,merchant
2025-04-01,-582.9,Swiggy
2025-04-02,-17797.49,Shopping
2025-04-02,-20716.59,Groceries
2025-04-03,-33328.34,Groceries
2025-04-04,-21413.48,Amazon
2025-04-05,-13288.23,Groceries
2025-04-06,-23768.55,EMI
2025-04-06,-1353.04,Swiggy
2025-04-07,-6648.1,Shopping
2025-04-07,-1880.47,Shopping
2025-04-08,-34572.99,Utilities
2025-04-08,-4129.41,Rent
2025-04-09,-4149.19,Uber
2025-04-10,-26227.72,Swiggy
2025-04-11,-24795.29,Groceries
2025-04-11,-4450.22,Groceries
2025-04-12,-37399.98,Shopping
2025-04-13,-16882.35,Utilities
2025-04-14,-34922.82,Rent
2025-04-15,-19329.69,Uber
2025-04-16,-3020.67,Shopping
2025-04-16,-3349.54,Uber
2025-04-17,-9961.04,Swiggy
2025-04-18,-20342.1,Swiggy
2025-04-19,-14437.11,Uber
2025-04-19,-39597.28,Amazon
2025-04-20,-9145.24,Shopping
2025-04-20,-9714.92,Groceries
2025-04-21,-14937.49,Uber
2025-04-22,-33744.69,EMI
2025-04-22,-9615.75,Swiggy
2025-04-23,-20580.22,Swiggy
2025-04-23,-5009.06,Swiggy
2025-04-24,-38461.53,Uber
2025-04-24,-28590.05,Amazon
2025-04-25,-5092.31,Groceries
2025-04-26,-37191.58,Uber
2025-04-26,-31017.24,Shopping
2025-04-27,-8148.88,Utilities
2025-04-27,-21217.06,EMI
2025-04-28,-2108.33,Rent
2025-04-28,-13684.57,EMI
2025-04-29,-14361.37,Groceries
2025-04-30,-22742.51,Amazon
2025-04-30,-28565.15,Shopping
2025-05-01,-17401.99,Groceries
2025-05-02,-11288.38,Rent
2025-05-02,-28690.67,Groceries
2025-05-03,-7392.09,Utilities
2025-05-04,-14706.32,Swiggy
2025-05-05,-15083.29,Uber
2025-05-05,-23985.24,Uber
2025-05-06,-8940.8,Shopping
2025-05-07,-30953.06,Shopping
2025-05-07,-3918.76,Uber
2025-05-08,-21632.32,EMI
2025-05-08,-747.99,Amazon
2025-05-09,-6060.12,Utilities
2025-05-09,-14885.33,Amazon
2025-05-10,-32377.46,EMI
2025-05-11,-8950.07,Swiggy
2025-05-12,-31282.74,Groceries
2025-05-12,-21604.61,Uber
2025-05-13,-37497.74,EMI
2025-05-13,-1261.09,Rent
2025-05-14,-10097.67,Swiggy
2025-05-15,-35973.09,Uber
2025-05-16,-28634.1,Amazon
2025-05-16,-27879.0,Utilities
2025-05-17,-26897.87,Swiggy
2025-05-18,-39072.27,Swiggy
2025-05-18,-33241.52,Amazon
2025-05-19,-33489.18,Shopping
2025-05-19,-11948.33,Utilities
2025-05-20,-16111.91,Swiggy
2025-05-21,-16807.04,Swiggy
2025-05-22,-32234.95,Utilities
2025-05-23,-14109.9,Amazon
2025-05-23,-15992.11,Uber
2025-05-24,-3289.95,Swiggy
2025-05-25,-12076.81,Shopping
2025-05-25,-21692.66,Utilities
2025-05-26,-14979.05,Utilities
2025-05-26,-13477.78,Groceries
2025-05-27,-14531.22,Uber
2025-05-27,-702.32,Amazon
2025-05-28,-26457.21,Uber
2025-05-29,-11155.36,Groceries
2025-05-29,-23398.04,Shopping
2025-05-30,-18506.06,Shopping
2025-05-30,-7479.46,Rent
2025-05-31,-39307.48,Shopping
2025-06-01,-31444.47,Rent
2025-06-01,-19847.95,Amazon
2025-06-02,-28005.09,Swiggy
2025-06-02,-27531.53,EMI
2025-06-03,-32935.65,Groceries
2025-06-03,-11318.33,Utilities
2025-06-04,-19887.51,Uber
2025-06-05,-7871.05,Swiggy
2025-06-06,-2361.12,Utilities
2025-06-06,-32700.8,Rent
2025-06-07,-14728.4,Utilities
2025-06-08,-927.8,Shopping
2025-06-08,-33399.87,Uber
2025-06-09,-7229.42,EMI
2025-06-10,-22487.03,Rent
2025-06-11,-13844.88,Groceries
2025-06-11,-10060.68,Amazon
2025-06-12,-32898.88,Groceries
2025-06-13,-26311.8,Swiggy
2025-06-13,-4890.3,Uber
2025-06-14,-19192.47,Shopping
2025-06-14,-38357.3,Groceries
2025-06-15,-12742.53,Utilities
2025-06-15,-7481.06,Rent
2025-06-16,-8079.25,Amazon
2025-06-17,-14223.38,Swiggy
2025-06-17,-19090.39,Uber
2025-06-18,-6528.94,Rent
2025-06-19,-2776.07,Groceries
2025-06-20,-28691.44,Uber
2025-06-20,-748.92,Amazon
2025-06-21,-34939.44,Shopping
2025-06-22,-3208.07,Swiggy
2025-06-23,-23869.29,Uber
2025-06-24,-10007.95,Rent
2025-06-24,-39398.77,Uber
2025-06-25,-30017.21,Utilities
2025-06-26,-965.54,EMI
2025-06-27,-36282.02,Rent
2025-06-27,-29409.0,Rent
2025-06-28,-18681.62,Uber
2025-06-28,-20015.72,Utilities
2025-06-29,-36358.23,EMI
2025-06-30,-5639.15,Rent
2025-06-30,-470.85,Amazon
2025-07-01,-18662.61,Rent
2025-07-01,-17224.25,Swiggy
2025-07-02,-20712.05,Shopping
2025-07-02,-20963.21,Uber
2025-07-03,-31929.85,Amazon
2025-07-03,-37940.27,Swiggy
2025-07-04,-18686.14,Swiggy
2025-07-04,-28997.3,EMI
2025-07-05,-3253.82,EMI
2025-07-06,-8674.68,Shopping
2025-07-06,-39628.89,Shopping
2025-07-07,-8214.44,Uber
2025-07-08,-11114.88,Uber
2025-07-08,-33247.73,Swiggy
2025-07-09,-32561.66,Swiggy
2025-07-10,-15878.24,Groceries
2025-07-10,-1057.18,EMI
2025-07-11,-6009.36,Rent
2025-07-12,-10367.08,Amazon
2025-07-12,-29173.88,Swiggy
2025-07-13,-30029.01,Utilities
2025-07-14,-16008.98,EMI
2025-07-15,-20141.05,Groceries
2025-07-16,-35145.68,Utilities
2025-07-16,-7530.45,Amazon
2025-07-17,-28849.58,Uber
2025-07-17,-24276.26,EMI
2025-07-18,-19213.49,Shopping
2025-07-18,-10689.31,EMI
2025-07-19,-11387.65,Shopping
2025-07-19,-8613.81,Amazon
2025-07-20,-8161.99,Shopping
2025-07-21,-37180.44,Utilities
2025-07-21,-5948.83,Groceries
2025-07-22,-39022.15,Shopping
2025-07-22,-13596.11,Utilities
2025-07-23,-36200.03,Shopping
2025-07-24,-21224.33,Shopping
2025-07-25,-7640.47,Groceries
2025-07-26,-1464.54,EMI
2025-07-27,-28354.54,Amazon
2025-07-27,-38407.11,Swiggy
2025-07-28,-3557.14,Rent
2025-07-28,-17341.69,EMI
2025-07-29,-19970.03,Utilities
2025-07-30,-5529.98,Groceries
2025-07-30,-28625.69,Rent
2025-07-31,-13156.61,Rent
2025-07-31,-30385.19,Utilities
2025-08-01,-12028.82,Swiggy
2025-08-01,-17963.23,Groceries
2025-08-02,-3735.68,Shopping
2025-08-03,-35975.02,Swiggy
2025-08-03,-11750.91,Groceries
2025-08-04,-13733.45,Swiggy
2025-08-05,-10333.58,Uber
2025-08-06,-6613.57,Uber
2025-08-06,-17956.48,Groceries
2025-08-07,-33540.95,EMI
2025-08-08,-34981.28,Groceries
2025-08-09,-10582.89,Utilities
2025-08-10,-15831.01,Amazon
2025-08-10,-28084.02,Swiggy
2025-08-11,-38676.91,Rent
2025-08-12,-12811.14,Uber
2025-08-12,-20162.32,Rent
2025-08-13,-5565.78,Shopping
2025-08-13,-27830.02,Swiggy
2025-08-14,-17093.86,Rent
2025-08-14,-34621.71,Shopping
2025-08-15,-11667.69,Utilities
2025-08-15,-24196.53,Shopping
2025-08-16,-27308.87,EMI
2025-08-16,-17461.55,Uber
2025-08-17,-7551.96,Uber
2025-08-18,-6263.39,Swiggy
2025-08-18,-8121.63,Uber
2025-08-19,-33361.39,Amazon
2025-08-20,-16243.33,Rent
2025-08-21,-39092.33,Amazon
2025-08-22,-1687.34,Swiggy
2025-08-22,-26868.45,Groceries
2025-08-23,-21213.21,Rent
2025-08-24,-25408.15,Utilities
2025-08-25,-30233.89,Swiggy
2025-08-26,-27377.54,Uber
2025-08-27,-33395.68,Rent
2025-08-28,-20543.67,Utilities
2025-08-28,-5122.87,Shopping
2025-08-29,-8696.65,Amazon
2025-08-30,-35377.2,Amazon
2025-08-31,-32413.88,Swiggy
2025-08-31,-11054.52,Rent
2025-09-01,-2716.67,EMI
2025-09-01,-28369.39,Swiggy
2025-09-02,-27532.88,Swiggy
2025-09-03,-36531.06,Uber
2025-09-03,-37233.11,Utilities
2025-09-04,-7968.77,Amazon
2025-09-05,-39039.99,Swiggy
2025-09-06,-628.56,Groceries
2025-09-06,-9070.59,Utilities
2025-09-07,-30980.55,Uber
2025-09-08,-3355.44,Swiggy
2025-09-09,-24932.42,Rent
2025-09-10,-11056.37,Groceries
2025-09-10,-39609.35,Amazon
2025-09-11,-38324.06,EMI
