date,amount,merchant
2025-04-01,-2928.97,Insurance
2025-04-01,-15699.71,Rent
2025-04-02,-11379.45,Fixed Deposit
2025-04-03,-169.44,Utilities
2025-04-04,-7610.19,Medical
2025-04-04,-7019.88,Rent
2025-04-05,-11814.58,Fixed Deposit
2025-04-05,-4359.71,Utilities
2025-04-06,-11426.24,Rent
2025-04-07,-14059.4,Fixed Deposit
2025-04-08,-19393.12,Medical
2025-04-08,-16053.3,Groceries
2025-04-09,-12417.65,Medical
2025-04-10,-9121.56,Rent
2025-04-11,-19738.04,Medical
2025-04-12,-944.4,Fixed Deposit
2025-04-13,-19944.31,Utilities
2025-04-13,-5998.25,Medical
2025-04-14,-1511.98,Utilities
2025-04-14,-10061.71,Rent
2025-04-15,-13993.9,Groceries
2025-04-16,-1650.84,Insurance
2025-04-16,-17921.46,Insurance
2025-04-17,-7738.98,Fixed Deposit
2025-04-17,-16421.62,Fixed Deposit
2025-04-18,-2576.87,Medical
2025-04-19,-18272.0,Fixed Deposit
2025-04-19,-258.04,Utilities
2025-04-20,-15267.77,Utilities
2025-04-21,-2906.39,Fixed Deposit
2025-04-21,-7148.91,Groceries
2025-04-22,-6879.74,Utilities
2025-04-22,-1148.26,Medical
2025-04-23,-5684.39,Rent
2025-04-24,-14176.82,Groceries
2025-04-24,-15925.72,Insurance
2025-04-25,-4260.1,Fixed Deposit
2025-04-25,-897.69,Insurance
2025-04-26,-14684.2,Insurance
2025-04-27,-12758.74,Utilities
2025-04-28,-13052.68,Fixed Deposit
2025-04-29,-18029.57,Groceries
2025-04-30,-8422.74,Rent
2025-05-01,-2463.65,Fixed Deposit
2025-05-01,-9465.39,Rent
2025-05-02,-799.15,Rent
2025-05-03,-1971.26,Utilities
2025-05-03,-4332.72,Insurance
2025-05-04,-6996.99,Fixed Deposit
2025-05-05,-3677.89,Groceries
2025-05-06,-3817.83,Insurance
2025-05-06,-12447.33,Rent
2025-05-07,-15026.55,Fixed Deposit
2025-05-07,-5881.4,Medical
2025-05-08,-11505.87,Rent
2025-05-08,-12454.5,Insurance
2025-05-09,-17164.56,Medical
2025-05-09,-9643.25,Fixed Deposit
2025-05-10,-15215.07,Insurance
2025-05-10,-4937.87,Insurance
2025-05-11,-6470.31,Utilities
2025-05-11,-18283.78,Insurance
2025-05-12,-19618.59,Groceries
2025-05-12,-7086.38,Fixed Deposit
2025-05-13,-6008.75,Fixed Deposit
2025-05-13,-7279.44,Rent
2025-05-14,-16384.45,Medical
2025-05-15,-15778.29,Rent
2025-05-16,-8948.59,Utilities
2025-05-16,-8793.74,Utilities
2025-05-17,-17786.25,Insurance
2025-05-18,-18175.9,Medical
2025-05-18,-3001.82,Insurance
2025-05-19,-16361.89,Medical
2025-05-19,-13137.46,Medical
2025-05-20,-1059.96,Rent
2025-05-21,-3411.6,Insurance
2025-05-22,-17698.24,Rent
2025-05-22,-12488.41,Insurance
2025-05-23,-5208.35,Fixed Deposit
2025-05-23,-5017.18,Rent
2025-05-24,-16885.49,Rent
2025-05-24,-10564.51,Insurance
2025-05-25,-9718.33,Utilities
2025-05-25,-14905.52,Medical
2025-05-26,-127.82,Groceries
2025-05-27,-5751.06,Medical
2025-05-27,-3137.97,Insurance
2025-05-28,-2138.21,Rent
2025-05-29,-10958.81,Utilities
2025-05-30,-3986.29,Insurance
2025-05-30,-12828.28,Utilities
2025-05-31,-12153.5,Rent
2025-06-01,-4961.55,Groceries
2025-06-02,-14920.94,Rent
2025-06-03,-15111.91,Utilities
2025-06-03,-7075.04,Insurance
2025-06-04,-11664.71,Groceries
2025-06-04,-7339.86,Rent
2025-06-05,-5897.0,Fixed Deposit
2025-06-05,-15972.3,Insurance
2025-06-06,-1369.98,Utilities
2025-06-06,-903.64,Fixed Deposit
2025-06-07,-9509.74,Fixed Deposit
2025-06-07,-16229.01,Medical
2025-06-08,-16318.98,Rent
2025-06-08,-14593.09,Fixed Deposit
2025-06-09,-10197.74,Groceries
2025-06-09,-18388.91,Medical
2025-06-10,-13290.05,Groceries
2025-06-10,-19262.94,Rent
2025-06-11,-9869.51,Fixed Deposit
2025-06-11,-13897.16,Utilities
2025-06-12,-12196.52,Rent
2025-06-12,-1799.8,Fixed Deposit
2025-06-13,-10391.31,Groceries
2025-06-13,-2488.3,Fixed Deposit
2025-06-14,-13921.75,Medical
2025-06-14,-4502.54,Groceries
2025-06-15,-8370.12,Medical
2025-06-15,-7093.66,Insurance
2025-06-16,-12824.89,Groceries
2025-06-17,-16171.93,Medical
2025-06-17,-1769.63,Utilities
2025-06-18,-19380.03,Groceries
2025-06-19,-15934.42,Rent
2025-06-20,-17537.92,Groceries
2025-06-21,-10989.58,Insurance
2025-06-21,-7213.71,Fixed Deposit
2025-06-22,-18192.31,Utilities
2025-06-23,-2437.07,Fixed Deposit
2025-06-24,-19992.15,Fixed Deposit
2025-06-25,-7563.1,Groceries
